Share,MSE,Volatility,Avg. 5 Day Percent Return (ESN),True Avg. 5 Day Percent Return
AAPL,15.7,0.63192,1.575,1.552
ALACU,0.324,0.1474,0.3113,0.0482
AMH,1.372,0.2234,0.0045,0.2751
AMZN,311.647,0.5175,9.693,2.178
ATKR,26.4968,0.54329,-19.13,1.622
BKCC,46.659,0.4951,-173.4,-0.5
CABO,120.575,0.2709,0.6078,0.9158
CIGI,6.4264,0.3949,-0.6353,-0.7815
CNBS,91.321,0.4822,52.73,0.7951
CPAA,0.542,0.2316,0.8962,0.3022
ETP,1.229,0.4314,1.165,0.6545
EWH,0.779,0.2634,-0.1559,-0.1923
FDNI,4,0.3,3.495,2.127
FMN,0.599,0.1711,-0.0263,0.0213
FNK,2.211,0.2323,0.0234,-0.1252
FNLC,1.7815,0.4493,-0.9769,-0.8543
FUT,0.342,0.0508,0.0762,0.0828
GOOGL,62.546,0.3493,0.2667,0.5368
HBANO,11.291,0.1617,5.253,0.1273
IBM,6.184,0.2674,-0.8271,-0.45
IFRA,225.5,0.2793,1546,-0.243
MIY,0.4298,0.1322,-0.0991,-0.0932
MLR,1.4124,0.5999,-0.2219,-0.1494
NAK,0.1682,0.7998,30.82,7.773
PROV,1.2967,0.3989,-2.253,-2.139
RDIV,2.2581,0.2156,0.559,-0.6656
TPIF,1.5374,0.3585,0.151,0.1084
TSLA,88.723,0.5474,4.056,4.232
TSM,2.5104,0.4302,0.8687,1.171
ULTR,0.5306,0.0292,-0.0782,-0.0666